3731,32626,40018,43216,46415
2099,33886,34786,34786,35086
750,9501,12147,13029,13911
101,203,236,249,262
35476,39768,40074,40164,40254
102887,146602,148025,148499,148689
130817,161338,163926,164336,164952
1016850,3093514,3451560,3551812,3666387
847918,1251245,1283770,1294789,1307061
27605,28864,28934,28934,28969
960,2589,2833,2878,2910
13545,36559,36960,39141,40806
21133,23306,23402,23471,23509
108859,129705,131130,131843,132556
312380,507535,517526,521522,525518
1210,2492,2680,2733,2787
571215,861404,893478,902641,911805
31725,71042,79313,82145,84978
1768,2796,2874,2896,2926
30106,127681,137437,141608,145130
120365,121681,121827,121827,121827
3622,3843,3886,3895,3900
161282,680734,762422,789652,812734
22319,58985,69188,73652,78116
10274,10568,10593,10593,10606
500877,530495,531811,531811,532469
122638,212158,215004,215263,215521
100215,119481,128607,134691,139254
142437,159238,160909,161410,161911
2250,2646,2683,2693,2704
3718,4674,4749,4774,5638
9683,11282,11404,11434,11480
1061,12510,12813,12995,13198
31427,362656,366847,367815,368783
10583,14432,14717,14869,15072
446,706,719,727,735
3925,20733,24658,25870,26991
119,136,139,140,141
2343,5256,5367,5405,5442
112869,186021,194479,197599,200402
984,5011,6220,6923,7626
54151,103311,108345,110022,111545
32076,46667,48694,49158,49769
2391,2679,2695,2702,2702
718,2904,3478,3581,3684
3237,5025,5115,5147,5166
94706,110673,111322,111537,111710
75978,96656,98200,98715,99230
27626,27995,27995,27995,27995
1039,1575,1649,1677,1691
1493,2325,2412,2447,2469
8053,8776,8852,8884,8906
6981,10439,10942,11073,11183
170009,194296,195298,195548,195799
3835,4229,4239,4239,4239
1224,1495,1526,1529,1543
7299,8573,8616,8631,8645
53701,67884,68130,68294,68294
23249,28057,28473,28611,28680
95690,154886,161637,167195,169973
2408043,6714017,7268046,7400200,7532353
38538,41092,41381,41520,41669
55579,61880,62327,62406,62484
124061,142097,143372,143736,144100
3203,3557,3592,3592,3597
287531,317343,318520,318912,319305
200172,610280,667473,698161,728849
264,1315,1537,1605,1673
309238,1034595,1156628,1197360,1233204
304836,325184,325184,325576,325576
3972,4663,4667,4667,4667
3906,4642,4726,4776,4826
145378,569892,616185,628445,644628
799,939,945,946,946
4131,5152,5243,5289,5308
4071,4495,4523,4534,4545
209884,275807,279727,281152,282578
202822,244948,249499,250675,251851
15678,44943,49572,51812,54052
1178,1774,1805,1814,1836
109933,169083,176018,178330,180041
70,152,170,177,183
24015,25641,25797,25859,25891
1527,3789,4493,4728,4962
8446,9376,9425,9440,9453
17627,20565,20716,20766,20791
45,102,108,110,112
11758,13187,13286,13320,13436
996,1345,1374,1383,1393
166963,326360,356121,365705,374280
5408,7340,7423,7460,7478
46923,163070,184330,190913,197497
350,551,571,577,591
44493,47413,47642,47699,47699
2036694,3719710,3783957,3806238,3829328
